name,lat,lon,住所,URL
南大沢事務所,35.6124214818576,139.379489099544,東京都八王子市南大沢２丁目２７ フレスコ南大沢, "url": "https://www.city.hachioji.tokyo.jp/shisetsu/002/p011852.html"
八王子駅南口総合事務所,35.6548057686543,139.337526539815,東京都八王子市子安町４丁目７−１,https://www.city.hachioji.tokyo.jp/shisetsu/002/p015806.html
浅川事務所,35.6438645458494,139.276902539815,東京都八王子市高尾町１６５２−１,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011850.html
由木事務所,35.6272524141291,139.382836510979,東京都八王子市下柚木２丁目１０−６,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011859.html
元八王子事務所,35.6715292281423,139.293157286499,東京都八王子市大楽寺町４１９−１,https://www.city.hachioji.tokyo.jp/shisetsu/002/p015819.html
北野事務所,35.6463136936409,139.353014166802,東京都八王子市北野町５４９−５ ,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011855.html
横山事務所,35.6512566230171,139.300290353309,東京都八王子市並木町１５−１５ ,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011835.html
館事務所,35.6345744979947,139.306506997486,東京都八王子市館町１５６ ,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011836.html
由木東事務所,35.6342915796426,139.421622997486,東京都八王子市鹿島１１１−１,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011837.html
恩方事務所,35.6677123051388,139.249153997487,東京都八王子市下恩方町３３９５ ,https://www.city.hachioji.tokyo.jp/shisetsu/002/p015800.html
川口事務所,35.6932753301915,139.279283401462,東京都八王子市川口町９０８−１,https://www.city.hachioji.tokyo.jp/shisetsu/002/p015801.html
加住事務所,35.7007637961722,139.316099268652,東京都八王子市加住町１丁目１７０−２,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011840.html
由井事務所,35.6435076713929,139.333314082144,東京都八王子市片倉町１１９−４,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011841.html
石川事務所,35.6809234762821,139.365981028726,東京都八王子市石川町４８１,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011842.html
